code,name,batch,stock,deal,free,mrp,rate,exp,supplier,company
ASMV1,MONOCEF 125GM VIAL,B094K039,200,5,1,31.1,22.22,1/3/2022,ARISTO PHARMACEUTICALS PVT LTD HYDERABAD,ARISTO PHARMA
ASMV1,MONOCEF 125GM VIAL,B094K039,7,5,1,31.1,22.22,1/3/2022,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD,ARISTO PHARMA
ASSMC,SMUTH CREAM,S1317,1,0,0,106.6,76.14,1/3/2022,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD,ARISTO (MAIN FORCE-2)
CSACF,AEROCORT FORTE ROT,SA01602,1,0,0,78.65,56.17,1/3/2022,CIPLA LIMITED  HYDERABAD,CIPLA(RESP 3 LEGACY)
EREL40,ERITEL 40MG TAB,GETL19011,15,0,0,108.32,77.37,1/3/2022,ERIS LIFE SCIENCES LTD     HYDERABAD,ERIS LIFESCIENCES PVT LTD
ERELAM,ERITEL AM TAB,GEAM19011,15,0,0,177.88,127.06,1/3/2022,ERIS LIFE SCIENCES LTD     HYDERABAD,ERIS LIFESCIENCES PVT LTD
ERLSH,LORSAVE H TAB,GLSH19003,9,0,0,139.44,99.6,1/3/2022,ERIS LIFE SCIENCES LTD     HYDERABAD,ERIS LIFESCIENCES PVT LTD
WADGD,DENTO-GEL,DCL1LA4,60,0,0,82,58.57,1/3/2022,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,INDOCO (WARREN PHARMA)
IVMPI,MELONEX PLUS INJ,Y209,108,5,1,70,50,1/3/2022,INTAS PHARMCEUTICALS LTD HYDERABAD,INTAS PHARMA (NEOVET)
MEEV4,EVION 400MG CAPS,M01BP20020,80,0,0,29.73,21.24,1/3/2022,LAKSHMI BALAJI AGENCIES       HYDERABAD,MERCK
PHENROP,PHENERGAN AMP***,NPE0199,28,0,0,45.9,32.8,1/3/2022,LAKSHMI BALAJI AGENCIES       HYDERABAD,RHONE-POULENC
ROBCF,BECOZYM C FORTE TAB**,MH3138,25,0,0,20.68,14.76,1/3/2022,LAKSHMI BALAJI CORPORATION VIJAYAWADA,NICHOLAS PIRAMAL INDIA LTD
KLEC5,EPILEX CHRONO 500MG ***,PCE0245,26,0,0,160.27,114.48,1/3/2022,LAKSHMI VENKATESWARA MEDICAL HALL GUNTUR,KNOLL LENBROOK PHARMA LTD
ROBCF,BECOZYM C FORTE TAB**,MH3143,5,0,0,20.68,14.76,1/3/2022,LAKSHMI VENKATESWARA PHARMACEU  NARASARAOPETA,NICHOLAS PIRAMAL INDIA LTD
ROBCF,BECOZYM C FORTE TAB**,MH3164,-5,0,0,20.68,14.76,1/3/2022,LAKSHMI VENKATESWARA PHARMACEU  NARASARAOPETA,NICHOLAS PIRAMAL INDIA LTD
MDOM2,OFLOMAC 200MG TAB,KOB919B,19,5,1,66.8,47.71,1/3/2022,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS (PHARMA) DIVISION
MACPD,PANDERM NM ONT,KPC20136A,1,6,1,88.75,63.39,1/3/2022,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS  (MACPHAR)
MANFC,CLONAFIT-0.50MD TAB,B6AFS032,29,11,1,32.8,23.43,1/3/2022,MANKIND PHARMA (FUTURE)HYDERABAD,MANKIND(FUTURE)
MKGKE,GATIKIND EYE DROPS,A7AQT002,-1,10,3,60,42.86,1/3/2022,MANKIND PHARMA (LIFESTAR)HYDERABAD,MANKIND(LIFESTAR)
MKSMS,SCABELICE MEDICATED SOAP,F4IBT050,2,11,1,75.9,51.46,1/3/2022,MANKIND PHARMA (LIFESTAR)HYDERABAD,MANKIND(LIFESTAR)
MANTT,TERBINAFORCE TAB,A5HST006,4,11,1,82.77,59.12,1/3/2022,MANKIND PHARMA (LIFESTAR)HYDERABAD,MANKIND(LIFESTAR)
MANTT,TERBINAFORCE TAB,A5HST012,-3,11,1,82.77,59.12,1/3/2022,MANKIND PHARMA (LIFESTAR)HYDERABAD,MANKIND(LIFESTAR)
LEOVL,OVRAL-L TAB,DH7974,52,0,0,70.88,61.1,1/3/2022,PFIZER LIMITED HYDERABAD,JOHN WYETH LTD
USGGP,GLYCOMET-GP 1MG **,48013513,2,0,0,96.63,69.02,1/3/2022,PRUDHVI PHARMACEUTICALS VIJAYAWADA,USV PHARMA
USGSR,GLYCOMET-SR 500MG TAB **,28020571,2,0,0,42.78,30.56,1/3/2022,PRUDHVI PHARMACEUTICALS VIJAYAWADA,USV PHARMA
HODNT,DAONIL TAB,9NA0015,328,0,0,40.31,28.79,1/3/2022,SANDEEP PHARMA   HYDERABAD,EMCURE PHARMACEUTICALS LTD
RACND,COVANCE-D TABS,AA85546,3,0,0,119.5,85.35,1/3/2022,SARADA PHARMACY      MADHIRA,RANBAXY PHARMA
DRT4T,TELSARTAN-40 TABS,E000461,1,0,0,102.51,73.22,1/3/2022,SARADA PHARMACY      MADHIRA,DR.REDDY`S LAB`S(XENURA-2)
PARN5,RINGGUARD CREAM **,HT255,84,0,0,15,10.99,1/3/2022,SRI SHASTHA ENTERPRISES KHAMMAM,PARAS PHARMACETICALS
PARG2,RINGGUARD CREAM **,HR304,120,0,0,80,60.32,1/3/2022,SRI SHASTHA ENTERPRISES KHAMMAM,PARAS PHARMACETICALS
PARG1,RINGGUARD CREAM **,HS211,115,0,0,56,42.23,1/3/2022,SRI SHASTHA ENTERPRISES KHAMMAM,PARAS PHARMACETICALS
DETITCH2,RINGGUARD PLUS CREAM **,HK631,-120,0,0,15,11.31,1/3/2022,SRI SHASTHA ENTERPRISES KHAMMAM,PARAS PHARMACETICALS
DETITCH2,RINGGUARD PLUS CREAM **,HT255,120,0,0,15,11.31,1/3/2022,SRI SHASTHA ENTERPRISES KHAMMAM,PARAS PHARMACETICALS
RANR4,ROSUVAS 40MG TABS,EMU2912,10,0,0,479,342.14,1/3/2022,SUN PHARMA DISTRIBUTORS LTD   SHAMEERPET,RANBAXY (CORONUS)
WLLX2,LYNX AMP,LB938,400,0,0,15.9,11.36,1/3/2022,WALLACE PHARMACEUTICALS PVT.LTHYDERABAD,WALLACE PHARMA
BIA5V,AMICIN 500MG VIAL,CBV1499,288,5,9,101.6,77.41,1/3/2022,ZYDUS HEALTHCARE LIMITED      HYDERABAD,BIOCHEM PHARMA
KRAST,ANASPAS TAB**,KRE0089,1,0,0,76.45,54.61,1/3/2022,,KHANDELWAL (RADON)
ULMVP,MENSOVIT PLUS CAP,MT417,29,10,1,158.4,120,1/3/2022,,UNI-LABS (INDIA) PVT LTD.
FBRXO,RELAXYL-ONT,904,24,11,1,66.6,47.57,1/3/2022,,FRANCO INDIAN  (ZINDA 2)
KNCML,CREMALAX 10MG TAB,ADE0266,19,0,0,126.09,90.06,1/2/2022,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (GASTROCARE)
KMHAV,HUMAN-ACTRAPID VIAL,B-70495,30,0,0,154.66,123.73,1/2/2022,ABBOTT INDIA LIMITED HYDERABAD,KNOLL (NOVOLET)
ABTR1,THYRONORM-100MG TABS,AEF0800,220,0,0,156.49,111.78,1/2/2022,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (METABOLICS)
ABTHY,THYRONORM-75MG TABS,AEF0751,190,0,0,170.69,121.92,1/2/2022,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (METABOLICS)
ACAL5,ALTHROCIN 500MG TAB,2008000479,2,0,0,84,60,1/2/2022,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD,ALEMBIC LTD(MAXIS DIVISION)
AGPM1,GLISEN PM 1 TAB,2008000331,-4,0,0,146.6,104.71,1/2/2022,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD,ALEMBIC  (DABUR) INDIA LIMITED
AGPM1,GLISEN PM 1 TAB,2008000331,-22,0,0,146.6,104.71,1/2/2022,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD,ALEMBIC  (DABUR) INDIA LIMITED
ALTM3,TAXIMAX 375 VIAL,19460622,95,9,1,27.9,19.93,1/2/2022,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS,ALKEM(ALPHA MAX)
ALTM7,TAXIMAX 750MG VIAL,19460698,45,9,1,39.6,28.29,1/2/2022,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS,ALKEM(ALPHA MAX)
ASM2V,MONOCEF 250GM VIAL,VB17J099,400,10,6,27.05,19.32,1/2/2022,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD,ARISTO PHARMA
ASM5V,MONOCEF 500GM VIAL,B096K239,210,10,5,49.41,35.3,1/2/2022,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD,ARISTO PHARMA
ASSMC,SMUTH CREAM,S1059,-2,0,0,106.6,76.14,1/2/2022,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD,ARISTO (MAIN FORCE-2)
ASTVA,TELVAS-AM TABS,BPC200527,-10,0,0,64,45.71,1/2/2022,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD,ARISTO (TASK FORCE)
BIOI5,INSUGEN-50/50 REFIL,BF19000212,1,0,0,975.9,780.72,1/2/2022,BIOCON BIOLOGIS INDIA LTD  SECUNDERABAD,BIOCON
BLUDC,DICLOTAL AQ AMP,ZQ2009,-10,0,0,19.5,6.5,1/2/2022,BLUE CROSS LABORATORIES PVT LTHYDERABAD,BLUE-CROSS LABS
CIPDU,DUOLIN FORTE ROTACAPS,SA01117,-2,0,0,136.29,97.35,1/2/2022,CIPLA LIMITED  HYDERABAD,CIPLA(RESP 2)
CIL63,LEVOLIN-0.63 RESPULES,L800171,16,0,0,24.5,17.5,1/2/2022,CIPLA LIMITED  HYDERABAD,CIPLA(RESP 3 NEBULIZATION)
CIL63,LEVOLIN-0.63 RESPULES,L800172,-16,0,0,24.5,17.5,1/2/2022,CIPLA LIMITED  HYDERABAD,CIPLA(RESP 3 NEBULIZATION)
CCNR4,NORFLOX 400MG TAB,RC0033,1,5,1,58.66,41.9,1/2/2022,CIPLA LIMITED  HYDERABAD,CIPLA (SPEETRACARE+1)
DRODS,OMEZ-D SR CAP,E000378,-2,0,0,161.5,115.36,1/2/2022,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDY`S LAB`S(AQURA+SG)
DRODS,OMEZ-D SR CAP,E000484,2,0,0,161.5,115.36,1/2/2022,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDY`S LAB`S(AQURA+SG)
INDO5,OXIPOD 50MG SYRUP,OBK1CBB8,-1,8,2,81.9,58.5,1/2/2022,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,INDOCO
INDO5,OXIPOD 50MG SYRUP,OBK6CBB8,1,8,2,81.9,58.5,1/2/2022,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,INDOCO
IVMNP,MELONEX PLUS INJ,Y189,41,5,1,150,107.14,1/2/2022,INTAS PHARMCEUTICALS LTD HYDERABAD,INTAS PHARMA (NEOVET)
KRRNX,ROBINAXOL TAB ***,UTGRLA824,8,10,1,74.1,52.95,1/2/2022,LAKSHMI VENKATESWARA PHARMA   HYDERABAD,KHANDELWAL (RADON)
PBLL6,LIVO-LUK KID SYR,52619008,5,0,0,67.4,55.34,1/2/2022,LAKSHMI VENKATESWARA PHARMACEU  NARASARAOPETA,PANACEA-BIOTEC LTD(GROW CARE)
MACGM,GEMINOR M-2,HMQ20012A,-2,0,0,140.8,100.57,1/2/2022,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS (PROCARE) AHT
MDPDO,PANDERM ++ ONT,KPC20121A,-2,6,1,88.75,63.39,1/2/2022,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS  (MACPHAR)
MDPDO,PANDERM ++ ONT,KPC2095A,2,6,1,88.75,63.39,1/2/2022,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS  (MACPHAR)
MKTMF,TEXAKIND-MF TABS,C0HST023,1,11,1,209.3,149.5,1/2/2022,MANKIND PHARMA (DISCOVERY)HYDERABAD,MANKIND(DISCOVERY)
MKTMF,TEXAKIND-MF TABS,C0HST026,-1,11,1,209.3,149.5,1/2/2022,MANKIND PHARMA (DISCOVERY)HYDERABAD,MANKIND(DISCOVERY)
122261R,AMLOKIND-AT TABS,A9IAT043,2,11,1,25.58,18.27,1/2/2022,MANKIND PHARMA LTD HYDERABAD,MANKIND PHARMA LTD.
122285R,NUFORCE-150 TABS,I3AFS006,40,11,1,21.9,15.64,1/2/2022,MANKIND PHARMA LTD HYDERABAD,MANKIND PHARMA LTD.
122297R,TELMIKIND-40 TABS,B5IAT080,2,0,0,34.04,24.31,1/2/2022,MANKIND PHARMA LTD HYDERABAD,MANKIND PHARMA LTD.
XXCKS,GIFT ITEM,BAG,2,0,0,1,0.95,1/2/2022,MED MANOR ORGANICS PVT LT     HYDERABAD,GIFT ARTICALS
MEDKU,KUFRIL LS DROPS,HKL167,-3,10,2,56,40,1/2/2022,MED MANOR ORGANICS PVT LT     HYDERABAD,MED MANOR ORGANICS  (PD)
MEEV2,EVION 200MG CAPS,M01BN19027,24,0,0,15.85,11.33,1/2/2022,MERCK LIMITED                 HYDERABAD,MERCK
MEPBS,POLYBION -LC SYR,M15FE19123,19,0,0,62.92,44.94,1/2/2022,MERCK LIMITED                 HYDERABAD,MERCK
MEPBS,POLYBION -LC SYR,M15FE19137,72,0,0,62.92,44.94,1/2/2022,MERCK LIMITED                 HYDERABAD,MERCK
CBVS7,VOVERAN SR 75MG TABS,193001MB,30,0,0,85.8,61.29,1/2/2022,NOVARTIS INDIA LIMITED        HYDERABAD,NOVARTIS INDIA LTD.(MPBU)
SUAPC,AB-PHYLLINE CAPS**,ESX0476,-1,0,0,123,87.86,1/2/2022,PRUDHVI AGENCIES VIJAYAWADA,SUN PHARMACEUTICAL I LTD
SUNGE05,GEMER 0.5 TABS**,EMX0781,-5,0,0,29.75,21.25,1/2/2022,PRUDHVI AGENCIES VIJAYAWADA,SUN PHARMACEUTICAL I LTD
SNGM1,GEMER-1 **,EMX0707,-2,0,0,77.25,55.18,1/2/2022,PRUDHVI AGENCIES VIJAYAWADA,SUN PHARMACEUTICAL I LTD
USVSR,GLYCOMET 850MG SR TABS **,28020521,-1,0,0,35.19,25.14,1/2/2022,PRUDHVI PHARMACEUTICALS VIJAYAWADA,USV PHARMA
ETUCT,ULTRACET TABS **,N1466,1,0,0,201,143.57,1/2/2022,PRUDHVI PHARMACEUTICALS VIJAYAWADA,ETHNOR
122261R,AMLOKIND-AT TABS,A9IAT075,-2,11,1,25.58,18.27,1/2/2022,SARADA PHARMACY      MADHIRA,MANKIND PHARMA LTD.
VER2S,FEPANIL 250MG SYP,FLH20C12,253,10,1,39.61,28.29,1/2/2022,VERITAZ HEALTHCARE LIMITED    HYDERABAD,VERITAZ HEALTHCARE LIMITED
LGDWE,DEWAX EAR DROPS**,CSX487,1,10,2,105.35,75.25,1/2/2022,VIJAYA DURGA AGENCIES   VIJAYAWADA,LEGEND DRUGS & FORMS
IPZDP,ZERODOL-P TABS **,RW520022AS,8,0,0,50,35.72,1/2/2022,VIJAYA DURGA AGENCIES   VIJAYAWADA,IPCA
WLLX1,LYNX AMP,LD1943,390,0,0,9.85,7.03,1/2/2022,WALLACE PHARMACEUTICALS PVT.LTHYDERABAD,WALLACE PHARMA
IVCS5,CAL SHAKTI,SY0552,39,5,1,82,65.6,1/2/2022,,INTAS PHARMA (BOVICURRA)
H&HDBC,DERMADEW BACT SOAP,H037,1,0,0,175,118.64,1/2/2022,,H&H PHARMA (HEALTHCARE)
MARFOLT,FOLACIN TABS,KZ19001,59,0,0,14.56,10.92,1/2/2022,,MARS TERAPEUTICS & CHEMICALS LTD
WILLX3,LYNX 500MG CAPS,LAL9031,34,0,0,126.5,90.36,1/2/2022,,WALLACE PHARMA
PPMETR,METROQUIN 0 TABS,V359002,10,10,2,97.9,69.93,1/2/2022,,PHARMA PRODUCTS (VIVIMED)
KRRNX,ROBINAXOL TAB ***,UTGRLA822,1,10,1,74.1,52.95,1/2/2022,,KHANDELWAL (RADON)
122299R,TELMIKIND-H TABS,B1IAT033,6,0,0,66.55,47.54,1/2/2022,,MANKIND PHARMA LTD.
CIASR,ASTHALIN RESP LOT,SA00737,30,0,0,11.59,8.28,31/01/2022,CIPLA LIMITED  HYDERABAD,CIPLA
CSDLI,DUOLIN CFC FREE INHLER,BA00678,20,0,0,281.93,201.38,31/01/2022,CIPLA LIMITED  HYDERABAD,CIPLA(RESP 2)
CSF2R,FORACORT 200 RCAPS,SA00621,1,0,0,165.64,118.31,31/01/2022,CIPLA LIMITED  HYDERABAD,CIPLA(RESP 2)
DRMCD,MUCOLITE DROPS,DD0016,120,0,0,28,20,31/01/2022,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDYS (VENTURA)
DXOR4,OLSERTAIN-40MG TABS,G20OLA004,5,0,0,139.5,99.64,31/01/2022,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDY`S LAB`S(XENURA)
DXOR4,OLSERTAIN-40MG TABS,G20OLA005,-5,0,0,139.5,99.64,31/01/2022,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDY`S LAB`S(XENURA)
DROH2,OLSERTAIN-H 20MG TABS,G20OHA003,-40,0,0,110,78.57,31/01/2022,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDY`S LAB`S(XENURA)
DCRZD,RAZO-D CAP`S,A08382008,2,0,0,246.95,176.39,31/01/2022,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDY`S LAB`S(RECURA)
DXRXR,RECLIDE-XR 60MG TABS,E000132,3,0,0,184,131.43,31/01/2022,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDY`S LAB`S(XENURA)
REDVA,VANTEJ PASTE,B.BV0025,12,0,0,238,161.35,31/01/2022,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDY`S LAB`S(RECURA ACE)
TOBC2,BETACARD-25MG TAB,2170F001D,27,0,0,37,26.43,31/01/2022,TORRENT PHARMACEUTICALS LTD   HYDERABAD,TORRENT PHARMACEUTICALS LTD
KHHUM,HUMAN-MIXTARD 100 (UNITS),JT6S418,9,0,0,410,328,1/1/2022,ABBOTT INDIA LIMITED   HYDERABAD,KNOLL (NOVOLET)
KNDMS,DIGENE MINT SYR,DNB0012,5,0,0,115,82.14,1/1/2022,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (CONSUMER CARE)
KNDMS,DIGENE MINT SYR,DNB0009,18,0,0,115,82.14,1/1/2022,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (CONSUMER CARE)
ABDUP,DUPHALAC SYRUP,141112D7,20,0,0,505.58,385.2,1/1/2022,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (WH&GI)
ABBDU,DUPHALAC SYRUP,DRA0001,40,0,0,168.53,128.4,1/1/2022,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (WH&GI)
KNGT5,GANATON 50MG,GAA0002,30,0,0,125.78,89.84,1/1/2022,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (GASTROCARE)
ABT12,THYRONORM 12.5MG TABS,AEF0528,70,0,0,177.41,126.72,1/1/2022,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (METABOLICS)
ABTTH,THYRONORM 125MG TAB,AEF0489,40,0,0,201.11,143.65,1/1/2022,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (METABOLICS)
ABTTH,THYRONORM 125MG TAB,AEF0509,40,0,0,201.11,143.65,1/1/2022,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (METABOLICS)
ABT15,THYRONORM-150MG TABS,AEF0399,80,0,0,202.53,144.66,1/1/2022,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (METABOLICS)
ABTR2,THYRONORM-25MG TABS,AEF0577,80,0,0,172.03,122.88,1/1/2022,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (METABOLICS)
ABTR2,THYRONORM-25MG TABS,AEF0608,420,0,0,172.03,122.88,1/1/2022,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (METABOLICS)
ABTN2,THYRONORM-50MG TABS,AEF0651,80,0,0,128.91,92.08,1/1/2022,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (METABOLICS)
ABTN2,THYRONORM-50MG TABS,AEF0692,510,0,0,128.91,92.08,1/1/2022,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (METABOLICS)
ABT88,THYRONORM-88 MCG TABS,AEF0579,60,0,0,201.11,143.65,1/1/2022,ABBOTT INDIA LIMITED HYDERABAD,ABBOTT (METABOLICS)
ACAL5,ALTHROCIN 500MG TAB,2008000196,34,0,0,84,60,1/1/2022,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD,ALEMBIC LTD(MAXIS DIVISION)
ACAL5,ALTHROCIN 500MG TAB,2008000198,30,0,0,84,60,1/1/2022,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD,ALEMBIC LTD(MAXIS DIVISION)
ACALD,ALTHROCIN DROPS,2008000169,14,0,0,35.5,25.36,1/1/2022,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD,ALEMBIC LTD(MAXIS DIVISION)
ACAZ5,AZITHRAL 500MG TAB,2008000171,9,0,0,116.7,83.36,1/1/2022,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD,ALEMBIC CHEMICALS (MEGACARE)
ACTZA,TELLZY-AM TABS,2008000210,60,0,0,206.6,147.57,1/1/2022,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD,ALEMBIC  (DABUR) INDIA LIMITED
ACTZL,TELLZY-H TABS,2008000217,30,0,0,205.4,146.71,1/1/2022,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD,ALEMBIC  (DABUR) INDIA LIMITED
ACZEE,ZEET EXP SYR,2008000201,120,9,1,92.85,66.32,1/1/2022,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD,ALEMBIC LTD(MAXIS DIVISION)
ALTOD,TAXIM-O PED DROPS,20460138,100,0,0,55.5,39.64,1/1/2022,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS,ALKEM (PHARMA)
ALTOD,TAXIM-O PED DROPS,20460138,33,0,0,55.5,39.64,1/1/2022,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS,ALKEM (PHARMA)
ARISOFL4,MONTINA L TABS,DPB200243,50,0,0,55,39.29,1/1/2022,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD,ARISTO PHARMA
ASSMC,SMUTH CREAM,S0683,20,0,0,106.6,76.14,1/1/2022,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD,ARISTO (MAIN FORCE-2)
ASSSS,SMUTH SUSP,MPB200473,50,0,0,108,77.14,1/1/2022,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD,ARISTO (MAIN FORCE-2)
SARST,STECLIN  INJ,J000403,118,0,0,29,20.71,1/1/2022,CADILA HEALTHCARE LTD  (ANIMAL) HYDERABAD,SARABHAI VET
CIASR,ASTHALIN RESP LOT,SA00695,25,0,0,11.59,8.28,1/1/2022,CIPLA LIMITED  HYDERABAD,CIPLA
CIACF,ASTHALIN-CFC FREE INH,SA01019,40,0,0,139.13,99.38,1/1/2022,CIPLA LIMITED  HYDERABAD,CIPLA(RESP 3 LEGACY)
CIPAX,AZEE 200 XL DRY SYP,A300037,28,9,1,100.97,72.12,1/1/2022,CIPLA LIMITED  HYDERABAD,CIPLA(NURTURE 1)
CILLR,LEVOLIN-0.31 RESP,L800104,16,0,0,20.35,14.5,1/1/2022,CIPLA LIMITED  HYDERABAD,CIPLA(RESP 3 NEBULIZATION)
CIMX2,METOLAR-XR 25MG CAP,BA00439,30,0,0,66.3,47.36,1/1/2022,CIPLA LIMITED  HYDERABAD,CIPLA(VITALIS 1)
CIPMN,MONTAIR-LC KID SYP,GL0123,32,0,0,105.1,75.07,1/1/2022,CIPLA LIMITED  HYDERABAD,CIPLA(NURTURE 1)
CSS2R,SEROFLO 250MG R/C,SA00623,30,0,0,356.34,254.53,1/1/2022,CIPLA LIMITED  HYDERABAD,CIPLA(RESP 1)
DRBZ1,BECOZINC CAP,V000096,20,0,0,28.6,20.43,1/1/2022,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDY`S LAB`S(AQURA+SG)
DRMCS,MUCOLITE SYR,L0004,91,0,0,85.5,61.07,1/1/2022,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDYS (VENTURA)
DROH2,OLSERTAIN-H 20MG TABS,G20OHA002,40,0,0,110,78.57,1/1/2022,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDY`S LAB`S(XENURA)
DCRZD,RAZO-D CAP`S,A08382007,-2,0,0,246.95,176.39,1/1/2022,DR REDDY`S LABORATORIES LTD   HYDERABAD,DR.REDDY`S LAB`S(RECURA)
ERELHT,ERITEL H TAB,GERH20001,40,0,0,193.25,138.04,1/1/2022,ERIS LIFE SCIENCES LTD     HYDERABAD,ERIS LIFESCIENCES PVT LTD
ETRCF,RARICAP FORTE TAB,GRAE20001,40,0,0,263.78,188.41,1/1/2022,ERIS LIFE SCIENCES LTD     HYDERABAD,ERIS (MONTANA)
ERIT6,TAYO 60K TABS,GTYK20002,10,0,0,185.97,132.84,1/1/2022,ERIS LIFE SCIENCES LTD     HYDERABAD,ERIS  (ADURA)
FIGTS,GRILINCTUS SYR,M20012,100,10,1,104.63,74.74,1/1/2022,FRANCO-INDIAN PHARMACEUTICALS HYDERABAD,FRANCO INDIAN  (ZINDA 2)
GDBC3,BETNOVATE-C SKIN CREAM,NH553,1,0,0,48.5,34.64,1/1/2022,GLAXOSMITHKLINE PHARMA LIM   HYDERABADA,GLAXOSMITHKLINE(CTC TEAM)
INGG1,CLOBEN-G CRM,CCT3BB4,60,5,1,101.7,72.64,1/1/2022,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,INDOCO
ISFPD,FEBREX PLUS DROPS,FAE1BBA1,85,9,1,64.1,45.79,1/1/2022,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,INDOCO (SPADE)
VERFD,FEPANIL DROPS,FDH20B02,110,10,1,26.2,18.71,1/1/2022,INDOCO REMEDIES LTD(INDOC)    HYDERABAD,VERITAZ HEALTHCARE LIMITED
UQRT1S,RANTAC-150MG TABS,DR320012,10,0,0,24.17,17.27,1/1/2022,J.B.CHEMICALS AND PHARMA      SECUNDERABAD,J.B. CHE&PHARMA LIMITED
HEGD1,GLUCON-D PACKS**,S06754,279,0,0,28,21.2,1/1/2022,JAI GANESH ENTERPRISES WARANGAL,HEINZ INDIA LIMITED
HEGD2,GLUCON-D PACKS** 250`GM,S06857,66,0,0,57,43.1,1/1/2022,JAI GANESH ENTERPRISES WARANGAL,HEINZ INDIA LIMITED
MIALA,AMLONG-A TAB**,AMDS0119,40,0,0,112,80,1/1/2022,LAKSHMI BALAJI CORPORATION VIJAYAWADA,MICRO LABS
BIOB3,BASALOG REFIL,81GH30115,3,0,0,1666.62,1333.3,1/1/2022,LAKSHMI VENKATESWARA MEDICAL HALL GUNTUR,BIOCON (CITIUS)
MACPD,PANDERM NM ONT,KPC2044A,96,6,1,88.75,63.39,1/1/2022,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS  (MACPHAR)
MLTR2,THYROX 25MG TAB,MTA013A,-1,0,0,143.36,102.4,1/1/2022,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS (PROCARE) HD
MLTR2,THYROX 25MG TAB,MTA024A,1,0,0,143.36,102.4,1/1/2022,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL,MACLEODS (PROCARE) HD
